x,y,heights,dt,conf,stype,ssh_flag,gauss,photon_rate,cloud,mss,ocean,lpe,ib
599752.3033311021,9587244.735930944,-0.055164337,144088538.41444373,0.023534492,1,0,0.134,5.214286,2,18.037691,-0.0046526324,0.05759389,-0.0668435
599749.285771299,9587235.261447584,-0.09563637,144088538.41584826,0.021643657,1,0,0.122999996,5.035714,2,18.037666,-0.0046526506,0.057593875,-0.066843525
599746.9179645359,9587227.836080763,-0.14273453,144088538.41694883,0.013059068,1,0,0.116,5.9583335,2,18.037619,-0.0046526543,0.057593882,-0.06684312
599744.9004342811,9587221.514891654,-0.17717934,144088538.41788563,0.026631307,1,0,0.094,6.6190476,2,18.037596,-0.004652659,0.05759387,-0.06684302
599742.9554758085,9587215.42416284,-0.18764496,144088538.41878802,0.03294083,1,0,0.081999995,7.4736843,2,18.037596,-0.0046526594,0.057593778,-0.06684296
599741.3150476591,9587210.290856414,-0.20427513,144088538.41954824,0.040488437,1,0,0.08499999,9.25,2,18.037561,-0.0046526664,0.057593778,-0.06684296
599740.0506340864,9587206.336849382,-0.22652626,144088538.42013407,0.0337493,1,0,0.078999996,9.533334,2,18.03752,-0.0046526734,0.057593774,-0.06684302
599738.4267513416,9587201.261768004,-0.2441616,144088538.4208854,0.04287474,1,0,0.077,10.066667,2,18.037514,-0.004652675,0.057593763,-0.066842884
599737.0807078171,9587197.056697914,-0.24843597,144088538.42150834,0.040976357,1,0,0.074,9.466666,2,18.037512,-0.004652675,0.057593778,-0.06684289
599735.0753644659,9587190.79345334,-0.17481041,144088538.42243558,0.011745577,1,0,0.15799999,6.952381,2,18.037416,-0.0046526752,0.057593767,-0.06684243
599732.3627350873,9587182.326049268,0.011537552,144088538.42368898,0.018016819,1,0,0.18,6.304348,2,18.037376,-0.0046526827,0.057593763,-0.06684171
599730.2729752854,9587175.81014412,0.09156799,144088538.42465335,0.02269585,1,0,0.144,7.4736843,2,18.037376,-0.0046526827,0.057593763,-0.06684171
599728.7341182185,9587171.014776329,0.086107254,144088538.42536327,0.028045,1,0,0.11399999,8.235294,2,18.037367,-0.004652694,0.057593767,-0.06684179
599727.1502516977,9587166.081595937,0.09685516,144088538.42609334,0.022714686,1,0,0.14099999,7.5555553,2,18.037336,-0.0046527,0.057593763,-0.06684183
599724.5960895664,9587158.12809688,0.042383194,144088538.42727044,0.017402204,1,0,0.16,5.36,2,18.03728,-0.0046527134,0.057593755,-0.06684166
599721.6659324531,9587149.007766986,-0.048347473,144088538.42862034,0.018565245,1,0,0.18,5.84,2,18.037216,-0.0046527297,0.057593744,-0.06684121
599719.582748396,9587142.530065827,-0.087183,144088538.42957908,0.011473892,1,0,0.227,6.4761906,2,18.0372,-0.0046527334,0.05759376,-0.06684116
599717.5832576347,9587136.324046915,-0.08561134,144088538.43049768,0.008407094,1,0,0.21399999,6.6666665,2,18.037186,-0.0046527334,0.05759375,-0.06684119
599715.3132620909,9587129.279208193,-0.08257675,144088538.43154043,0.018804144,1,0,0.19,6.318182,2,18.037127,-0.004652737,0.057593696,-0.06684105
599713.1251637003,9587122.488234565,-0.08809662,144088538.43254575,0.018574681,1,0,0.162,6.85,2,18.037115,-0.00465274,0.0575937,-0.06684123
599711.2702528668,9587116.73239604,-0.16942406,144088538.43339786,0.034423236,1,0,0.09199999,8.529411,1,18.037113,-0.004652742,0.057593677,-0.06684087
599709.9237117637,9587112.553119224,-0.20931244,144088538.4340166,0.05263678,1,0,0.072,11.384615,1,18.037107,-0.004652752,0.05759367,-0.06684078
599708.4692882744,9587108.037123837,-0.23811722,144088538.43468526,0.04380057,1,0,0.073,13.6,1,18.037086,-0.0046527595,0.057593696,-0.06684062
599707.2474602514,9587104.24195893,-0.22981644,144088538.43524703,0.035737365,1,0,0.084,12.909091,1,18.037088,-0.004652758,0.057593673,-0.06684062
599706.1146202572,9587100.72232233,-0.19164085,144088538.43576798,0.032533295,1,0,0.089999996,11.0,1,18.037071,-0.0046527623,0.05759368,-0.06684061
599704.2676451941,9587094.981509777,-0.10750961,144088538.43661785,0.01829859,1,0,0.162,7.888889,1,18.036983,-0.0046527856,0.057593692,-0.06684026
599702.2061798648,9587088.571489103,-0.03568268,144088538.43756703,0.018795336,1,0,0.18,7.5263157,1,18.03695,-0.004652793,0.057593673,-0.06683987
599700.4073068631,9587082.974478643,-0.03294182,144088538.43839556,0.024582794,1,0,0.128,7.263158,1,18.036951,-0.004652793,0.057593677,-0.06683996
599698.1298160942,9587075.883875906,-0.024232864,144088538.43944573,0.02090995,1,0,0.17199999,6.8095236,1,18.036907,-0.0046527935,0.057593673,-0.06683999
599696.0374815546,9587069.36344232,0.016160965,144088538.44041127,0.011640339,1,0,0.229,6.2380953,1,18.036867,-0.0046528024,0.057593673,-0.066840015
